                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.76141,                0.47404,                0.95124,                0.81306,                 0.6727,                0.76756,                0.49017,                 1.3337,                 1.0864,                 1.1607,             0.00090785,             0.00090785,             0.00090785
                    140,                0.78074,                0.48002,                0.94987,                0.81074,                 0.7026,                0.78203,                0.48904,                 1.3407,                 1.0067,                 1.1578,             0.00090235,             0.00090235,             0.00090235
                    141,                0.80953,                0.49781,                 0.9622,                0.77298,                0.71227,                0.78086,                0.48765,                 1.3597,                0.99146,                 1.1648,             0.00089685,             0.00089685,             0.00089685
                    142,                0.77622,                0.48761,                0.95106,                0.82879,                0.68841,                0.78159,                0.50259,                  1.309,                0.99971,                 1.1374,             0.00089134,             0.00089134,             0.00089134
                    143,                0.76469,                0.48415,                0.94667,                0.80864,                0.69132,                0.76838,                0.48593,                 1.3352,                0.99887,                 1.1484,             0.00088584,             0.00088584,             0.00088584
                    144,                0.79594,                0.48797,                0.95474,                0.80976,                 0.6891,                0.75278,                0.48707,                 1.3195,                0.99369,                 1.1522,             0.00088034,             0.00088034,             0.00088034
                    145,                0.77149,                0.47854,                 0.9419,                0.79723,                 0.6702,                0.74024,                0.47189,                 1.3451,                 1.0109,                  1.164,             0.00087484,             0.00087484,             0.00087484
                    146,                0.77314,                0.48078,                0.95577,                0.85064,                 0.6149,                0.74517,                0.47045,                 1.3349,                 1.1534,                  1.155,             0.00086934,             0.00086934,             0.00086934
                    147,                0.80633,                0.49455,                0.95601,                0.79739,                0.63627,                0.74132,                 0.4725,                 1.3396,                 1.1768,                 1.1557,             0.00086384,             0.00086384,             0.00086384
                    148,                0.74978,                0.45768,                 0.9437,                0.80794,                0.67401,                0.76132,                0.47947,                 1.3102,                 1.1032,                 1.1439,             0.00085834,             0.00085834,             0.00085834
                    149,                0.78598,                 0.4809,                0.94536,                0.84959,                0.63147,                0.73014,                0.46819,                 1.3716,                 1.1006,                 1.1816,             0.00085284,             0.00085284,             0.00085284
                    150,                0.76743,                0.47144,                 0.9484,                0.78763,                0.65714,                0.73347,                0.47018,                 1.3528,                 1.1439,                 1.1615,             0.00084734,             0.00084734,             0.00084734
                    151,                0.76432,                0.48737,                0.96549,                0.82145,                 0.6298,                0.73321,                0.46547,                 1.3574,                   1.13,                 1.1794,             0.00084184,             0.00084184,             0.00084184
